game,move_number,policy_rank_zero_indexed,raw_katago_winrate,raw_winrate_perspective,human_perspective_winrate
Ke Jie vs AlphaGo Master Game 1,28,0,0.445,alphago,0.5549999999999999
Ke Jie vs AlphaGo Master Game 1,30,2,0.446,alphago,0.554
Ke Jie vs AlphaGo Master Game 1,32,0,0.423,alphago,0.577
Ke Jie vs AlphaGo Master Game 1,34,0,0.49,alphago,0.51
Ke Jie vs AlphaGo Master Game 1,36,0,0.512,alphago,0.488
Ke Jie vs AlphaGo Master Game 1,38,2,0.489,alphago,0.511
Ke Jie vs AlphaGo Master Game 1,40,0,0.488,alphago,0.512
Ke Jie vs AlphaGo Master Game 1,42,2,0.476,alphago,0.524
Ke Jie vs AlphaGo Master Game 1,44,0,0.484,alphago,0.516
Ke Jie vs AlphaGo Master Game 1,46,0,0.488,alphago,0.512
Ke Jie vs AlphaGo Master Game 1,48,0,0.512,alphago,0.488
Ke Jie vs AlphaGo Master Game 1,50,0,0.484,alphago,0.516
Ke Jie vs AlphaGo Master Game 1,52,1,0.468,alphago,0.532
Ke Jie vs AlphaGo Master Game 1,54,1,0.493,alphago,0.507
Ke Jie vs AlphaGo Master Game 1,56,0,0.522,alphago,0.478
Ke Jie vs AlphaGo Master Game 1,58,3,0.488,alphago,0.512
Ke Jie vs AlphaGo Master Game 1,60,1,0.487,alphago,0.513
Ke Jie vs AlphaGo Master Game 1,62,0,0.743,alphago,0.257
Ke Jie vs AlphaGo Master Game 1,64,0,0.717,alphago,0.28300000000000003
Ke Jie vs AlphaGo Master Game 1,66,0,0.758,alphago,0.242
Ke Jie vs AlphaGo Master Game 1,68,1,0.753,alphago,0.247
Ke Jie vs AlphaGo Master Game 1,70,0,0.787,alphago,0.21299999999999997
Ke Jie vs AlphaGo Master Game 1,72,2,0.794,alphago,0.20599999999999996
Ke Jie vs AlphaGo Master Game 1,74,3,0.811,alphago,0.18899999999999995
Ke Jie vs AlphaGo Master Game 1,76,1,0.794,alphago,0.20599999999999996
Ke Jie vs AlphaGo Master Game 1,78,8,0.799,alphago,0.20099999999999996
Ke Jie vs AlphaGo Master Game 1,80,4,0.832,alphago,0.16800000000000004
Ke Jie vs AlphaGo Master Game 1,82,0,0.824,alphago,0.17600000000000005
Ke Jie vs AlphaGo Master Game 1,84,0,0.82,alphago,0.18000000000000005
Ke Jie vs AlphaGo Master Game 1,86,0,0.835,alphago,0.16500000000000004
Ke Jie vs AlphaGo Master Game 1,88,6,0.8,alphago,0.19999999999999996
Ke Jie vs AlphaGo Master Game 1,90,0,0.816,alphago,0.18400000000000005
Ke Jie vs AlphaGo Master Game 1,92,1,0.793,alphago,0.20699999999999996
Ke Jie vs AlphaGo Master Game 1,94,0,0.808,alphago,0.19199999999999995
Ke Jie vs AlphaGo Master Game 1,96,0,0.834,alphago,0.16600000000000004
Ke Jie vs AlphaGo Master Game 1,98,0,0.827,alphago,0.17300000000000004
Ke Jie vs AlphaGo Master Game 1,100,0,0.837,alphago,0.16300000000000003
Ke Jie vs AlphaGo Master Game 1,102,9,0.838,alphago,0.16200000000000003
Ke Jie vs AlphaGo Master Game 1,104,0,0.861,alphago,0.139
Ke Jie vs AlphaGo Master Game 1,106,0,0.859,alphago,0.14100000000000001
Ke Jie vs AlphaGo Master Game 1,108,0,0.893,alphago,0.10699999999999998
Ke Jie vs AlphaGo Master Game 1,110,0,0.902,alphago,0.09799999999999998
Ke Jie vs AlphaGo Master Game 1,112,5,0.925,alphago,0.07499999999999996
Ke Jie vs AlphaGo Master Game 1,114,0,0.949,alphago,0.051000000000000045
Ke Jie vs AlphaGo Master Game 1,116,0,0.936,alphago,0.06399999999999995
Ke Jie vs AlphaGo Master Game 1,118,1,0.97,alphago,0.030000000000000027
Ke Jie vs AlphaGo Master Game 1,120,0,0.958,alphago,0.04200000000000004
Ke Jie vs AlphaGo Master Game 1,122,0,0.983,alphago,0.017000000000000015
Ke Jie vs AlphaGo Master Game 1,124,1,0.983,alphago,0.017000000000000015
Ke Jie vs AlphaGo Master Game 1,126,0,0.984,alphago,0.016000000000000014
Ke Jie vs AlphaGo Master Game 1,128,0,0.985,alphago,0.015000000000000013
Ke Jie vs AlphaGo Master Game 1,130,0,0.989,alphago,0.01100000000000001
Ke Jie vs AlphaGo Master Game 1,132,0,0.991,alphago,0.009000000000000008
Ke Jie vs AlphaGo Master Game 1,134,1,0.991,alphago,0.009000000000000008
Ke Jie vs AlphaGo Master Game 1,136,1,0.993,alphago,0.007000000000000006
Ke Jie vs AlphaGo Master Game 1,138,0,0.995,alphago,0.0050000000000000044
Ke Jie vs AlphaGo Master Game 1,140,11,0.993,alphago,0.007000000000000006
Ke Jie vs AlphaGo Master Game 1,142,14,0.995,alphago,0.0050000000000000044
Ke Jie vs AlphaGo Master Game 1,144,0,0.997,alphago,0.0030000000000000027
Ke Jie vs AlphaGo Master Game 1,146,0,0.996,alphago,0.0040000000000000036
Ke Jie vs AlphaGo Master Game 1,148,0,0.997,alphago,0.0030000000000000027
Ke Jie vs AlphaGo Master Game 1,150,10,0.997,alphago,0.0030000000000000027
Ke Jie vs AlphaGo Master Game 1,152,0,0.998,alphago,0.0020000000000000018
Ke Jie vs AlphaGo Master Game 1,154,0,0.997,alphago,0.0030000000000000027
