era,year,gap,dist_last_h,adj_opp_h,adj_own_h,is_corner_open_h,dens_delta_h,dist_last_kg,adj_opp_kg,adj_own_kg,is_corner_open_kg,dens_delta_kg,katago_winrate,katago_top1_prior
E0,2007,0.5879596934527149,0.1,0.0,0.0,0.0,0.0,0.5590169943749475,0.25,0.25,0.0,0.1,0.258287145,0.140758947
E0,2015,0.1013836300889064,0.15811388300841897,0.0,0.0,0.0,0.1,0.1414213562373095,0.0,0.0,0.0,0.0,0.389204497,0.438908368
E0,2000,0.0,0.05,0.25,0.0,1.0,0.0,0.05,0.25,0.0,1.0,0.0,0.450278881,0.986263156
E0,2015,1.1222736450326418,0.20615528128088303,0.25,0.25,0.0,0.0,0.65,0.25,0.0,1.0,0.0,0.577942296,0.361102223
E0,2010,0.0,0.1118033988749895,0.25,0.0,0.0,0.0,0.1118033988749895,0.25,0.0,0.0,0.0,0.597761976,0.307133526
E0,2008,0.0,0.07071067811865475,0.0,0.5,0.0,-0.1,0.07071067811865475,0.0,0.5,0.0,-0.1,0.511560953,0.997520387
E0,2000,0.14142135623730953,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.1,0.558774479,0.170943663
E0,2008,0.3739466667944206,0.25,0.0,0.0,0.0,0.0,0.6103277807866851,0.0,0.0,0.0,-0.1,0.435277288,0.110199444
E0,2001,0.2586460945276183,0.2,0.0,0.0,0.0,0.0,0.3640054944640259,0.0,0.0,0.0,-0.2,0.756579013,0.296097875
E0,2010,0.0,0.05,0.25,0.0,0.0,0.0,0.05,0.25,0.0,0.0,0.0,0.505935325,0.582134306
E0,2000,0.11144225324037454,0.30413812651491096,0.0,0.0,0.0,-0.2,0.2549509756796392,0.0,0.0,0.0,-0.3,0.600204035,0.102160893
E0,2003,1.0820958633619648,0.07071067811865475,0.0,0.25,1.0,0.0,0.4,0.25,0.25,0.0,0.0,0.75525578,0.10340587
E0,2008,0.5370648016909149,0.2549509756796392,0.0,0.0,0.0,0.0,0.7826237921249264,0.0,0.0,0.0,-0.1,0.480925248,0.063511245
E1,2017,0.3862716914832063,0.21213203435596423,0.0,0.0,0.0,0.0,0.5852349955359812,0.0,0.0,0.0,-0.1,0.580048632,0.562025726
E1,2016,0.0,0.05,0.25,0.25,0.0,0.0,0.05,0.25,0.25,0.0,0.0,0.725795054,0.262546152
E1,2016,0.0,0.05,0.25,0.0,0.0,-0.1,0.05,0.25,0.0,0.0,-0.1,0.492765177,0.752322137
E1,2017,0.209331459920627,0.1118033988749895,0.25,0.25,0.0,-0.2,0.05,0.25,0.25,0.0,0.0,0.375077646,0.149247304
E1,2016,0.0,0.07071067811865475,0.0,0.25,0.0,-0.1,0.07071067811865475,0.0,0.25,0.0,-0.1,0.94916509,0.538917542
E1,2016,0.0,0.05,0.25,0.0,0.0,-0.1,0.05,0.25,0.0,0.0,-0.1,0.328221618,0.290766537
E1,2017,0.7052435834857328,0.07071067811865475,0.0,0.25,0.0,0.0,0.6726812023536854,0.25,0.0,0.0,-0.1,0.506615069,0.112466283
E1,2017,0.28531084401672424,0.1118033988749895,0.0,0.0,0.0,0.0,0.20615528128088303,0.0,0.25,0.0,0.1,0.365753824,0.444313705
E1,2017,0.0,0.1118033988749895,0.25,0.0,0.0,0.0,0.1118033988749895,0.25,0.0,0.0,0.0,0.214880144,0.991815746
E1,2016,1.218030177860669,0.1118033988749895,0.25,0.25,0.0,-0.1,0.7106335201775947,0.0,0.0,1.0,-0.1,0.376531307,0.365789354
E1,2017,0.5001393008202836,0.1118033988749895,0.0,0.0,1.0,-0.1,0.1,0.0,0.5,1.0,-0.1,0.370719262,0.327967763
E1,2017,0.0,0.05,0.25,0.0,0.0,0.0,0.05,0.25,0.0,0.0,0.0,0.768659024,0.739986598
E1,2016,1.0975182867852942,0.1,0.0,0.0,0.0,-0.1,0.552268050859363,0.0,0.0,1.0,-0.1,0.612972995,0.218297616
E1,2016,0.0,0.05,0.25,0.0,0.0,-0.2,0.05,0.25,0.0,0.0,-0.2,0.509539736,0.390595466
E1,2017,0.12190659585682914,0.18027756377319945,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.836103505,0.554908335
E1,2017,0.36800670128155893,0.07071067811865475,0.0,0.25,0.0,-0.1,0.05,0.25,0.0,0.0,0.0,0.384965929,0.371637285
E1,2017,0.0,0.07071067811865475,0.0,0.25,0.0,-0.1,0.07071067811865475,0.0,0.25,0.0,-0.1,0.185425991,0.201132968
